HTNO,SUBCODE,IM
149Y1A0103,1501801,2
149Y1A0169,1501801,15
149Y1A0182,1501801,9
149Y1A01D0,1501801,16
149Y1A01D1,1501801,10
159Y1A0101,1501801,29
159Y1A0102,1501801,26
159Y1A0103,1501801,25
159Y1A0104,1501801,15
159Y1A0105,1501801,17
159Y1A0106,1501801,20
159Y1A0108,1501801,23
159Y1A0109,1501801,9
159Y1A0110,1501801,26
159Y1A0111,1501801,13
159Y1A0112,1501801,22
159Y1A0113,1501801,25
159Y1A0114,1501801,28
159Y1A0115,1501801,19
159Y1A0116,1501801,27
159Y1A0117,1501801,22
159Y1A0118,1501801,17
159Y1A0119,1501801,16
159Y1A0121,1501801,24
159Y1A0122,1501801,12
159Y1A0123,1501801,26
159Y1A0124,1501801,25
159Y1A0125,1501801,28
159Y1A0126,1501801,29
159Y1A0129,1501801,20
159Y1A0130,1501801,25
159Y1A0131,1501801,29
159Y1A0132,1501801,15
159Y1A0133,1501801,12
159Y1A0134,1501801,17
159Y1A0135,1501801,22
159Y1A0136,1501801,29
159Y1A0137,1501801,22
159Y1A0138,1501801,20
159Y1A0139,1501801,24
159Y1A0140,1501801,19
159Y1A0141,1501801,20
159Y1A0142,1501801,23
159Y1A0143,1501801,24
159Y1A0144,1501801,22
159Y1A0145,1501801,19
159Y1A0146,1501801,23
159Y1A0148,1501801,27
159Y1A0150,1501801,22
159Y1A0151,1501801,23
159Y1A0152,1501801,25
159Y1A0153,1501801,16
159Y1A0154,1501801,23
159Y1A0155,1501801,25
159Y1A0156,1501801,23
159Y1A0157,1501801,26
159Y1A0159,1501801,28
159Y1A0160,1501801,18
159Y1A0161,1501801,23
159Y1A0162,1501801,17
159Y1A0163,1501801,22
159Y1A0164,1501801,26
159Y1A0165,1501801,17
159Y1A0166,1501801,28
159Y1A0167,1501801,27
159Y1A0168,1501801,24
159Y1A0169,1501801,20
159Y1A0170,1501801,30
159Y1A0171,1501801,2
159Y1A0172,1501801,23
159Y1A0174,1501801,22
159Y1A0175,1501801,22
159Y1A0176,1501801,22
159Y1A0177,1501801,24
159Y1A0178,1501801,16
159Y1A0179,1501801,24
159Y1A0180,1501801,27
159Y1A0181,1501801,28
159Y1A0183,1501801,28
159Y1A0185,1501801,7
159Y1A0186,1501801,25
159Y1A0187,1501801,23
159Y1A0188,1501801,26
159Y1A0189,1501801,25
159Y1A0190,1501801,23
159Y1A0191,1501801,25
159Y1A0192,1501801,18
159Y1A0193,1501801,29
159Y1A0194,1501801,27
159Y1A0195,1501801,15
159Y1A0196,1501801,26
159Y1A0197,1501801,12
159Y1A0198,1501801,15
159Y1A0199,1501801,22
159Y1A01A0,1501801,27
159Y1A01A1,1501801,25
159Y1A01A2,1501801,26
159Y1A01A3,1501801,28
159Y1A01A4,1501801,19
159Y1A01A5,1501801,26
159Y1A01A6,1501801,24
159Y1A01A7,1501801,30
