HTNO,SUBCODE,IM
169Y5A0139,1525601,27
169Y5A0140,1525601,29
169Y5A0141,1525601,27
169Y5A0142,1525601,27
169Y5A0143,1525601,29
169Y5A0144,1525601,25
169Y5A0145,1525601,26
169Y5A0146,1525601,29
169Y5A0147,1525601,26
169Y5A0148,1525601,27
169Y5A0149,1525601,28
169Y5A0150,1525601,25
169Y5A0151,1525601,27
169Y5A0152,1525601,22
169Y5A0153,1525601,26
169Y5A0154,1525601,28
169Y5A0155,1525601,29
169Y5A0156,1525601,27
169Y5A0157,1525601,26
169Y5A0158,1525601,28
169Y5A0159,1525601,29
169Y5A0160,1525601,29
169Y5A0161,1525601,28
169Y5A0162,1525601,29
169Y5A0163,1525601,28
169Y5A0164,1525601,28
169Y5A0165,1525601,26
149Y1A0169,1501602,8
149Y1A0182,1501602,7
149Y1A01C8,1501602,4
149Y1A01D0,1501602,14
149Y1A01D1,1501602,13
159Y1A0101,1501602,26
159Y1A0102,1501602,21
159Y1A0103,1501602,18
159Y1A0104,1501602,12
159Y1A0105,1501602,15
159Y1A0106,1501602,16
159Y1A0108,1501602,18
159Y1A0109,1501602,12
159Y1A0110,1501602,20
159Y1A0111,1501602,13
159Y1A0112,1501602,17
159Y1A0113,1501602,18
159Y1A0114,1501602,20
159Y1A0115,1501602,21
159Y1A0116,1501602,26
159Y1A0117,1501602,22
159Y1A0118,1501602,13
159Y1A0119,1501602,9
159Y1A0121,1501602,13
159Y1A0122,1501602,13
159Y1A0123,1501602,17
159Y1A0124,1501602,10
159Y1A0125,1501602,18
159Y1A0126,1501602,23
159Y1A0129,1501602,17
159Y1A0130,1501602,20
159Y1A0131,1501602,26
159Y1A0132,1501602,11
159Y1A0133,1501602,24
159Y1A0134,1501602,11
159Y1A0135,1501602,18
159Y1A0136,1501602,28
159Y1A0137,1501602,18
159Y1A0138,1501602,21
159Y1A0139,1501602,19
159Y1A0140,1501602,18
159Y1A0141,1501602,20
159Y1A0142,1501602,17
159Y1A0143,1501602,19
159Y1A0144,1501602,22
159Y1A0145,1501602,18
159Y1A0146,1501602,18
159Y1A0147,1501602,13
159Y1A0148,1501602,20
159Y1A0149,1501602,0
159Y1A0150,1501602,23
159Y1A0151,1501602,18
159Y1A0152,1501602,19
159Y1A0153,1501602,13
159Y1A0154,1501602,25
159Y1A0155,1501602,22
159Y1A0156,1501602,22
159Y1A0157,1501602,22
159Y1A0159,1501602,22
159Y1A0160,1501602,23
159Y1A0161,1501602,21
159Y1A0162,1501602,16
159Y1A0163,1501602,12
159Y1A0164,1501602,26
159Y1A0165,1501602,18
159Y1A0166,1501602,27
159Y1A0167,1501602,25
159Y1A0168,1501602,21
159Y1A0169,1501602,21
159Y1A0170,1501602,23
159Y1A0171,1501602,9
159Y1A0172,1501602,19
159Y1A0173,1501602,11
159Y1A0174,1501602,16
159Y1A0175,1501602,12
159Y1A0176,1501602,13
159Y1A0177,1501602,12
159Y1A0178,1501602,13
159Y1A0179,1501602,14
159Y1A0180,1501602,22
159Y1A0181,1501602,22
159Y1A0183,1501602,22
159Y1A0185,1501602,5
159Y1A0186,1501602,23
159Y1A0187,1501602,22
159Y1A0188,1501602,27
159Y1A0189,1501602,27
159Y1A0190,1501602,18
159Y1A0191,1501602,19
159Y1A0192,1501602,2
159Y1A0193,1501602,26
159Y1A0194,1501602,24
159Y1A0195,1501602,7
159Y1A0196,1501602,22
159Y1A0197,1501602,5
159Y1A0198,1501602,16
159Y1A0199,1501602,18
159Y1A01A0,1501602,22
159Y1A01A1,1501602,24
159Y1A01A2,1501602,21
159Y1A01A3,1501602,22
159Y1A01A4,1501602,10
159Y1A01A5,1501602,22
159Y1A01A6,1501602,22
159Y1A01A7,1501602,25
159Y1A01A8,1501602,11
159Y1A01A9,1501602,10
159Y1A01B0,1501602,22
159Y1A01B1,1501602,10
159Y1A01B2,1501602,26
159Y1A01B3,1501602,19
159Y1A01B4,1501602,28
159Y1A01B5,1501602,18
159Y1A01B6,1501602,30
159Y1A01B7,1501602,28
159Y1A01B8,1501602,19
159Y1A01B9,1501602,15
159Y1A01C0,1501602,25
159Y1A01C1,1501602,30
159Y1A01C2,1501602,30
159Y1A01C3,1501602,30
159Y1A01C4,1501602,30
159Y1A01C5,1501602,18
159Y1A01C6,1501602,23
159Y1A01C7,1501602,30
159Y1A01C8,1501602,19
159Y1A01C9,1501602,26
159Y1A01D0,1501602,18
159Y1A01D1,1501602,24
159Y1A01D2,1501602,24
159Y1A01D3,1501602,26
159Y1A01D5,1501602,17
159Y1A01D6,1501602,20
159Y1A01D7,1501602,11
159Y1A01D8,1501602,26
159Y1A01D9,1501602,25
159Y1A01E2,1501602,18
159Y1A01E3,1501602,21
159Y1A01E4,1501602,30
159Y1A01E5,1501602,22
159Y1A01E6,1501602,19
159Y1A01E7,1501602,21
159Y1A01E8,1501602,25
159Y1A01E9,1501602,26
159Y1A01F0,1501602,24
159Y1A01F1,1501602,20
159Y1A01F2,1501602,18
159Y1A01F3,1501602,29
159Y1A01F4,1501602,21
159Y1A01F5,1501602,28
159Y1A01F6,1501602,18
159Y1A01F7,1501602,24
159Y1A01F8,1501602,23
159Y1A01F9,1501602,26
159Y1A01G0,1501602,20
159Y1A01G1,1501602,29
159Y1A01G2,1501602,21
169Y5A0101,1501602,23
169Y5A0102,1501602,30
169Y5A0103,1501602,19
169Y5A0104,1501602,30
169Y5A0105,1501602,20
169Y5A0106,1501602,23
169Y5A0107,1501602,19
169Y5A0108,1501602,28
169Y5A0109,1501602,29
169Y5A0110,1501602,30
169Y5A0111,1501602,24
169Y5A0113,1501602,30
169Y5A0114,1501602,24
169Y5A0115,1501602,30
169Y5A0116,1501602,30
169Y5A0117,1501602,29
169Y5A0118,1501602,27
169Y5A0119,1501602,28
169Y5A0120,1501602,26
169Y5A0121,1501602,21
169Y5A0122,1501602,28
169Y5A0123,1501602,17
169Y5A0124,1501602,30
169Y5A0125,1501602,29
169Y5A0126,1501602,25
169Y5A0127,1501602,29
169Y5A0128,1501602,20
169Y5A0129,1501602,20
169Y5A0130,1501602,23
169Y5A0131,1501602,21
169Y5A0132,1501602,22
169Y5A0133,1501602,22
169Y5A0134,1501602,28
169Y5A0135,1501602,29
169Y5A0136,1501602,28
169Y5A0137,1501602,26
169Y5A0138,1501602,22
169Y5A0139,1501602,29
169Y5A0140,1501602,30
169Y5A0141,1501602,20
169Y5A0142,1501602,22
169Y5A0143,1501602,30
169Y5A0144,1501602,19
169Y5A0145,1501602,30
169Y5A0146,1501602,27
169Y5A0147,1501602,19
169Y5A0148,1501602,28
169Y5A0149,1501602,24
169Y5A0150,1501602,27
169Y5A0151,1501602,30
169Y5A0152,1501602,14
169Y5A0153,1501602,19
169Y5A0154,1501602,26
169Y5A0155,1501602,30
169Y5A0156,1501602,26
169Y5A0157,1501602,22
169Y5A0158,1501602,27
169Y5A0159,1501602,25
169Y5A0160,1501602,30
169Y5A0161,1501602,27
169Y5A0162,1501602,30
169Y5A0163,1501602,26
169Y5A0164,1501602,22
169Y5A0165,1501602,19
149Y1A0169,1501603,9
149Y1A0182,1501603,12
149Y1A01C8,1501603,0
149Y1A01D0,1501603,16
149Y1A01D1,1501603,16
159Y1A0101,1501603,29
159Y1A0102,1501603,27
159Y1A0103,1501603,21
159Y1A0104,1501603,23
159Y1A0105,1501603,15
159Y1A0106,1501603,27
159Y1A0108,1501603,25
159Y1A0109,1501603,23
159Y1A0110,1501603,28
159Y1A0111,1501603,16
159Y1A0112,1501603,24
159Y1A0113,1501603,29
159Y1A0114,1501603,29
159Y1A0115,1501603,29
159Y1A0116,1501603,28
159Y1A0117,1501603,30
159Y1A0118,1501603,22
159Y1A0119,1501603,16
159Y1A0121,1501603,26
159Y1A0122,1501603,20
159Y1A0123,1501603,29
159Y1A0124,1501603,24
159Y1A0125,1501603,30
159Y1A0126,1501603,30
159Y1A0129,1501603,27
159Y1A0130,1501603,29
159Y1A0131,1501603,29
159Y1A0132,1501603,26
159Y1A0133,1501603,29
159Y1A0134,1501603,22
159Y1A0135,1501603,27
159Y1A0136,1501603,30
159Y1A0137,1501603,25
159Y1A0138,1501603,24
159Y1A0139,1501603,23
159Y1A0140,1501603,18
159Y1A0141,1501603,25
159Y1A0142,1501603,29
159Y1A0143,1501603,29
159Y1A0144,1501603,27
159Y1A0145,1501603,25
159Y1A0146,1501603,28
159Y1A0147,1501603,19
159Y1A0148,1501603,29
159Y1A0149,1501603,0
159Y1A0150,1501603,28
159Y1A0151,1501603,29
159Y1A0152,1501603,28
159Y1A0153,1501603,24
159Y1A0154,1501603,29
159Y1A0155,1501603,29
159Y1A0156,1501603,29
159Y1A0157,1501603,29
159Y1A0159,1501603,28
159Y1A0160,1501603,23
159Y1A0161,1501603,23
159Y1A0162,1501603,21
159Y1A0163,1501603,24
159Y1A0164,1501603,30
159Y1A0165,1501603,22
159Y1A0166,1501603,29
159Y1A0167,1501603,29
159Y1A0168,1501603,27
159Y1A0169,1501603,28
159Y1A0170,1501603,30
159Y1A0171,1501603,24
159Y1A0172,1501603,27
159Y1A0173,1501603,24
159Y1A0174,1501603,22
159Y1A0175,1501603,28
159Y1A0176,1501603,24
159Y1A0177,1501603,22
159Y1A0178,1501603,16
159Y1A0179,1501603,21
159Y1A0180,1501603,30
159Y1A0181,1501603,29
159Y1A0183,1501603,30
159Y1A0185,1501603,15
159Y1A0186,1501603,29
159Y1A0187,1501603,26
159Y1A0188,1501603,30
159Y1A0189,1501603,30
159Y1A0190,1501603,25
159Y1A0191,1501603,30
159Y1A0192,1501603,17
159Y1A0193,1501603,30
159Y1A0194,1501603,29
159Y1A0195,1501603,23
159Y1A0196,1501603,30
159Y1A0197,1501603,15
159Y1A0198,1501603,28
159Y1A0199,1501603,26
159Y1A01A0,1501603,30
159Y1A01A1,1501603,30
159Y1A01A2,1501603,29
159Y1A01A3,1501603,30
159Y1A01A4,1501603,23
159Y1A01A5,1501603,29
159Y1A01A6,1501603,30
159Y1A01A7,1501603,26
159Y1A01A8,1501603,26
159Y1A01A9,1501603,20
159Y1A01B0,1501603,29
159Y1A01B1,1501603,18
159Y1A01B2,1501603,29
159Y1A01B3,1501603,28
159Y1A01B4,1501603,29
159Y1A01B5,1501603,15
159Y1A01B6,1501603,30
159Y1A01B7,1501603,29
159Y1A01B8,1501603,30
159Y1A01B9,1501603,19
159Y1A01C0,1501603,28
159Y1A01C1,1501603,30
